State,MONTH,YEAR,MAX(cse6242.AK_1.DailyAverageDryBulbTemperature),MAX(cse6242.AK_1.DailyAverageWetBulbTemperature),MAX(cse6242.AK_1.DailyAverageRelativeHumidity),MAX(cse6242.AK_1.DailyAverageWindSpeed),MAX(cse6242.AK_1.DailyCollingDegreeDays),MAX(cse6242.AK_1.DailyDepartureFromNormalAverageTemperature),MAX(cse6242.AK_1.DailyHeatingDegreeDays),MAX(cse6242.AK_1.DailyPrecipitation),MAX(cse6242.AK_1.DailySnowfall),MAX(cse6242.AK_1.MonthlyMeanTemperature),MAX(cse6242.AK_1.NormalsCoolingDegreeDay),MAX(cse6242.AK_1.NormalsHeatingDegreeDay)
AK,6,2015,74,60.0,97.0,30.3,,,,,,,,
AK,7,2015,78,63.0,99.0,28.3,,,,,,,,
AK,8,2015,68,61.0,99.0,31.1,,,,,,,,
AK,9,2015,60,57.0,99.0,32.3,,,,,,,,
AK,10,2015,58,9.0,99.0,31.8,,,,,,,,
AK,11,2015,46,9.0,99.0,36.7,,,,,,,,
AK,12,2015,46,9.0,99.0,36.6,,,,,,,,
AK,1,2016,49,9.0,99.0,36,,,,,,,,
AK,2,2016,53,9.0,99.0,35.9,,,,,,,,
AK,3,2016,54,9.0,98.0,30.1,,,,,,,,
AK,4,2016,57,9.0,97.0,32.7,,,,,,,,
AK,5,2016,71,56.0,96.0,32.8,,,,,,,,
AK,6,2016,73,59.0,99.0,30.7,,,,,,,,
AK,7,2016,76,65.0,99.0,22.4,,,,,,,,
AK,8,2016,77,61.0,99.0,33.6,,,,,,,,
AK,9,2016,66,59.0,99.0,35.5,,,,,,,,
AK,10,2016,55,9.0,99.0,33.7,,,,,,,,
AK,11,2016,52,9.0,99.0,31.9,,,,,,,,
AK,12,2016,45,9.0,99.0,37.1,,,,,,,,
AK,1,2017,46,9.0,99.0,35.6,,,,,,,,
AK,2,2017,49,9.0,99.0,38.3,,,,,,,,
AK,3,2017,43,9.0,98.0,35,,,,,,,,
AK,4,2017,56,9.0,99.0,34.9,,,,,,,,
AK,5,2017,63,51.0,99.0,25.4,,,,,,,,
AK,6,2017,77,61.0,99.0,28.6,,,,,,,,
AK,7,2017,74,63.0,99.0,29.3,,,,,,,,
AK,8,2017,74,62.0,99.0,28.4,,,,,,,,
AK,9,2017,68,60.0,99.0,40.9,,,,,,,,
AK,10,2017,53,9.0,99.0,33.1,,,,,,,,
AK,11,2017,51,9.0,99.0,43,,,,,,,,
AK,12,2017,54,9.0,99.0,34.2,,,,,,,,
AK,1,2018,58,9.0,99.0,40.3,,,,,,,,
AK,2,2018,41,9.0,99.0,36.5,,,,,,,,
AK,3,2018,49,9.0,99.0,35,,,,,,,,
AK,4,2018,51,9.0,99.0,34.4,,,,,,,,
AK,5,2018,61,9.0,99.0,32,,,,,,,,
AK,6,2018,74,60.0,99.0,28,,,,,,,,
AK,7,2018,74,62.0,99.0,33,,,,,,,,
AK,8,2018,71,63.0,99.0,32.2,,,,,,,,
AK,9,2018,65,57.0,99.0,32.2,,,,,,,,
AK,10,2018,57,9.0,99.0,27.6,,,,,,,,
AK,11,2018,52,9.0,99.0,31.1,,,,,,,,
AK,12,2018,49,9.0,99.0,34.8,,,,,,,,
AK,1,2019,50,9.0,99.0,34.9,,,,,,,,
AK,2,2019,43,9.0,99.0,37.4,,,,,,,,
AK,3,2019,54,9.0,99.0,32.8,,,,,,,,
AK,4,2019,53,9.0,98.0,35.6,,,,,,,,
AK,5,2019,67,54.0,99.0,34.6,,,,,,,,
AK,6,2019,75,64.0,99.0,31.6,,,,,,,,
AK,7,2019,76,69.0,99.0,32.2,,,,,,,,
AK,8,2019,74,63.0,99.0,31.8,,,,,,,,
AK,9,2019,64,59.0,99.0,30.1,,,,,,,,
AK,10,2019,54,53.0,98.0,35.2,,,,,,,,
AK,11,2019,51,9.0,99.0,32.9,,,,,,,,
AK,12,2019,51,9.0,99.0,37.6,,,,,,,,
AK,1,2020,42,9.0,97.0,49.1,,,,,,,,
AK,2,2020,45,9.0,99.0,40.2,,,,,,,,
AK,3,2020,46,9.0,99.0,40.3,,,,,,,,
AK,4,2020,53,9.0,98.0,29.5,,,,,,,,
AK,5,2020,67,9.0,99.0,37.1,,,,,,,,
AK,6,2020,67,58.0,98.0,28.7,,,,,,,,
AK,7,2020,74,60.0,99.0,28.3,,,,,,,,
AK,8,2020,69,60.0,98.0,33.8,,,,,,,,
AK,9,2020,62,58.0,97.0,30.7,,,,,,,,
AK,10,2020,61,9.0,99.0,36.9,,,,,,,,
AK,11,2020,54,9.0,99.0,38.6,,,,,,,,
AK,12,2020,50,9.0,99.0,35.8,,,,,,,,
AK,1,2021,45,9.0,99.0,34.6,,,,,,,,
AK,2,2021,44,9.0,99.0,37.8,,,,,,,,
AK,3,2021,46,9.0,99.0,34.5,,,,,,,,
AK,4,2021,55,9.0,97.0,29.3,,,,,,,,
AK,5,2021,62,52.0,97.0,33.8,,,,,,,,
AK,6,2021,72,60.0,98.0,28.9,,,,,,,,
AK,7,2021,72,62.0,99.0,30.5,,,,,,,,
AK,8,2021,77,64.0,99.0,32.5,,,,,,,,
AK,9,2021,61,56.0,97.0,31.1,,,,,,,,
AK,10,2021,54,8.0,99.0,37.7,,,,,,,,
AK,11,2021,53,9.0,98.0,33.7,,,,,,,,
AK,12,2021,52,9.0,99.0,41.4,,,,,,,,
AK,1,2022,46,9.0,99.0,50.6,,,,,,,,
AK,2,2022,45,9.0,99.0,36,,,,,,,,
AK,3,2022,46,9.0,99.0,29.4,,,,,,,,
AK,4,2022,50,9.0,99.0,35.7,,,,,,,,
AK,5,2022,64,51.0,99.0,22.2,,,,,,,,
AK,6,2022,73,60.0,99.0,36.8,,,,,,,,
AK,7,2022,74,62.0,99.0,28.1,,,,,,,,
AK,8,2022,67,61.0,99.0,26.5,,,,,,,,
AK,9,2022,64,60.0,99.0,34.5,,,,,,,,
AK,10,2022,62,9.0,99.0,34.1,,,,,,,,
AK,11,2022,49,9.0,99.0,36.7,,,,,,,,
AK,12,2022,45,9.0,99.0,44.2,,,,,,,,
AK,1,2023,49,9.0,99.0,34.4,,,,,,,,
AK,2,2023,44,9.0,98.0,34.9,,,,,,,,
AK,3,2023,46,9.0,99.0,38.6,,,,,,,,
AK,4,2023,53,9.0,97.0,28.7,,,,,,,,
AK,5,2023,68,57.0,99.0,26.1,,,,,,,,
AK,6,2023,70,60.0,98.0,28.7,,,,,,,,
AK,7,2023,77,66.0,99.0,33.6,,,,,,,,
AK,8,2023,70,62.0,99.0,27.6,,,,,,,,
AK,9,2023,67,58.0,98.0,26.4,,,,,,,,
AK,10,2023,60,9.0,99.0,29.8,,,,,,,,
AK,11,2023,51,9.0,99.0,39.2,,,,,,,,
AK,12,2023,49,,,36.2,,,,,,,,
AK,1,2024,50,,,44.9,,,,,,,,
AK,2,2024,51,,,32.1,,,,,,,,
AK,3,2024,45,,,26.8,,,,,,,,
AL,1,2010,67.0,63.0,93.0,16,,,,,,,,
AL,2,2010,61.0,56.0,92.0,15.5,,,,,,,,
AL,3,2010,72.0,64.0,93.0,15,,,,,,,,
AL,4,2010,77.0,71.0,90.0,16.8,,,,,,,,
AL,5,2010,85,74.0,92.0,18.3,,,,,,,,
AL,6,2010,90,78.0,87.0,9.4,,,,,,,,
AL,7,2010,92.0,78.0,90.0,10.5,,,,,,,,
AL,8,2010,92.0,79.0,92.0,10.2,,,,,,,,
AL,9,2010,87.0,77.0,94.0,9.1,,,,,,,,
AL,10,2010,84,76.0,95.0,15.8,,,,,,,,
AL,11,2010,74.0,69.0,97.0,15.8,,,,,,,,
AL,12,2010,66.0,63.0,92.0,18.2,,,,,,,,
AL,1,2011,63,59.0,97.0,12.6,,,,,,,,
AL,2,2011,73.0,67.0,98.0,18.2,,,,,,,,
AL,3,2011,77.0,70.0,95.0,18.4,,,,,,,,
AL,4,2011,83,74.0,89.0,18.2,,,,,,,,
AL,5,2011,86,74.0,91.0,13.4,,,,,,,,
AL,6,2011,90.0,77.0,90.0,10,,,,,,,,
AL,7,2011,89.0,79.0,92.0,8.8,,,,,,,,
AL,8,2011,91,79.0,90.0,8.3,,,,,,,,
AL,9,2011,89.0,77.0,97.0,16.8,,,,,,,,
AL,10,2011,76.0,66.0,90.0,14.6,,,,,,,,
AL,11,2011,76s,70.0,95.0,16.2,,,,,,,,
AL,12,2011,73,67.0,95.0,16.7,,,,,,,,
AL,1,2012,74,67.0,97.0,15.6,,,,,,,,
AL,2,2012,73,67.0,92.0,19.3,,,,,,,,
AL,3,2012,77,69.0,92.0,16.2,,,,,,,,
AL,4,2012,80,70.0,90.0,15.2,,,,,,,,
AL,5,2012,87,73.0,91.0,11.1,,,,,,,,
AL,6,2012,90.0,78.0,92.0,14.3,,,,,,,,
AL,7,2012,91s,78.0,91.0,8.4,,,,,,,,
AL,8,2012,88.0,78.0,93.0,23.3,,,,,,,,
AL,9,2012,86,78.0,94.0,10.6,,,,,,,,
AL,10,2012,79s,72.0,92.0,14.5,,,,,,,,
AL,11,2012,73,64.0,91.0,12.8,,,,,,,,
AL,12,2012,73,64.0,95.0,20.3,,,,,,,,
AL,1,2013,74,68.0,97.0,18,,,,,,,,
AL,2,2013,66.0,62.0,99.0,15.5,,,,,,,,
AL,3,2013,72.0,65.0,92.0,18.1,,,,,,,,
AL,4,2013,79.0,70.0,94.0,15.6,,,,,,,,
AL,5,2013,83,73.0,93.0,15.2,,,,,,,,
AL,6,2013,87.0,78.0,92.0,10.8,,,,,,,,
AL,7,2013,85.0,77.0,95.0,10.8,,,,,,,,
AL,8,2013,87,77.0,96.0,10.7,,,,,,,,
AL,9,2013,85s,77.0,93.0,9.1,,,,,,,,
AL,10,2013,81.0,,,13.8,,,,,,,,
AL,11,2013,75,69.0,97.0,14.7,,,,,,,,
AL,12,2013,77s,72.0,99.0,17.7,,,,,,,,
AL,1,2014,62s,59.0,99.0,19.5,,,,,,,,
AL,2,2014,73.0,67.0,98.0,16.8,,,,,,,,
AL,3,2014,69,65.0,98.0,15.2,,,,,,,,
AL,4,2014,80,74.0,99.0,18.1,,,,,,,,
AL,5,2014,84,74.0,98.0,12.1,,,,,,,,
AL,6,2014,88,78.0,91.0,10.4,,,,,,,,
AL,7,2014,90,78.0,94.0,9.7,,,,,,,,
AL,8,2014,89,78.0,93.0,9.6,,,,,,,,
AL,9,2014,88,78.0,94.0,10.2,,,,,,,,
AL,10,2014,80.0,75.0,97.0,15,,,,,,,,
AL,11,2014,72,65.0,96.0,16.8,,,,,,,,
AL,12,2014,70,66.0,99.0,13.2,,,,,,,,
AL,1,2015,69,67.0,99.0,14.2,,,,,,,,
AL,2,2015,68.0,,,18,,,,,,,,
AL,3,2015,74.0,68.0,98.0,17.3,,,,,,,,
AL,4,2015,78,71.0,98.0,15,,,,,,,,
AL,5,2015,81,74.0,95.0,13.6,,,,,,,,
AL,6,2015,88.0,77.0,89.0,12,,,,,,,,
AL,7,2015,89.0,79.0,94.0,11.4,,,,,,,,
AL,8,2015,88.0,79.0,94.0,9.5,,,,,,,,
AL,9,2015,85.0,75.0,94.0,11.4,,,,,,,,
AL,10,2015,77.0,70.0,96.0,19.6,,,,,,,,
AL,11,2015,80.0,75.0,99.0,18,,,,,,,,
AL,12,2015,78s,75.0,98.0,17.8,,,,,,,,
AL,1,2016,65.0,62.0,99.0,17.2,,,,,,,,
AL,2,2016,72,70.0,97.0,18.3,,,,,,,,
AL,3,2016,78,71.0,99.0,22.4,,,,,,,,
AL,4,2016,80,72.0,97.0,14.8,,,,,,,,
AL,5,2016,86,74.0,97.0,13.2,,,,,,,,
AL,6,2016,90,78.0,95.0,10.1,,,,,,,,
AL,7,2016,90.0,78.0,90.0,12.3,,,,,,,,
AL,8,2016,89,78.0,95.0,11.3,,,,,,,,
AL,9,2016,88,77.0,93.0,10.4,,,,,,,,
AL,10,2016,82s,71.0,82.0,14.1,,,,,,,,
AL,11,2016,81s,70.0,88.0,15.9,,,,,,,,
AL,12,2016,74.0,68.0,99.0,20.1,,,,,,,,
AL,1,2017,74,67.0,99.0,18.8,,,,,,,,
AL,2,2017,75,67.0,98.0,12.8,,,,,,,,
AL,3,2017,78,68.0,92.0,16.1,,,,,,,,
AL,4,2017,82,74.0,93.0,18.1,,,,,,,,
AL,5,2017,85s,75.0,96.0,14.7,,,,,,,,
AL,6,2017,86s,77.0,99.0,18.6,,,,,,,,
AL,7,2017,89,79.0,96.0,9.5,,,,,,,,
AL,8,2017,88,78.0,99.0,14,,,,,,,,
AL,9,2017,85,76.0,99.0,16.6,,,,,,,,
AL,10,2017,84,77.0,99.0,15.1,,,,,,,,
AL,11,2017,75.0,69.0,98.0,17.5,,,,,,,,
AL,12,2017,73s,68.0,99.0,14.2,,,,,,,,
AL,1,2018,72,64.0,99.0,16.3,,,,,,,,
AL,2,2018,77s,71.0,99.0,14.2,,,,,,,,
AL,3,2018,76s,70.0,97.0,17.8,,,,,,,,
AL,4,2018,78s,70.0,96.0,17.7,,,,,,,,
AL,5,2018,84,76.0,95.0,14.5,,,,,,,,
AL,6,2018,89,78.0,92.0,13.8,,,,,,,,
AL,7,2018,89,80.0,93.0,9,,,,,,,,
AL,8,2018,87,78.0,94.0,10.1,,,,,,,,
AL,9,2018,88,79.0,96.0,16.3,,,,,,,,
AL,10,2018,83,75.0,96.0,19.6,,,,,,,,
AL,11,2018,76,71.0,98.0,14.5,,,,,,,,
AL,12,2018,74,71.0,98.0,17.9,,,,,,,,
AL,1,2019,73s,68.0,96.0,18.1,,,,,,,,
AL,2,2019,80,72.0,99.0,16.5,,,,,,,,
AL,3,2019,76.0,70.0,90.0,17.4,,,,,,,,
AL,4,2019,78,72.0,96.0,17.3,,,,,,,,
AL,5,2019,88,76.0,92.0,11.3,,,,,,,,
AL,6,2019,89s,80.0,94.0,12.9,,,,,,,,
AL,7,2019,91,80.0,97.0,13.8,,,,,,,,
AL,8,2019,91,80.0,97.0,9.5,,,,,,,,
AL,9,2019,91,79.0,92.0,11.2,,,,,,,,
AL,10,2019,89,76.0,97.0,15.7,,,,,,,,
AL,11,2019,72s,71.0,94.0,18,,,,,,,,
AL,12,2019,75,68.0,96.0,16.9,,,,,,,,
AL,1,2020,74,68.0,96.0,19.2,,,,,,,,
AL,2,2020,76,68.0,98.0,18.7,,,,,,,,
AL,3,2020,82,72.0,98.0,13.6,,,,,,,,
AL,4,2020,83s,73.0,94.0,18.7,,,,,,,,
AL,5,2020,83.0,74.0,92.0,13.7,,,,,,,,
AL,6,2020,88s,79.0,94.0,20.7,,,,,,,,
AL,7,2020,89.0,78.0,96.0,10.9,,,,,,,,
AL,8,2020,89,79.0,96.0,13.2,,,,,,,,
AL,9,2020,87,79.0,97.0,26.7,,,,,,,,
AL,10,2020,83,75.0,96.0,19.8,,,,,,,,
AL,11,2020,81s,73.0,97.0,16.5,,,,,,,,
AL,12,2020,70,65.0,98.0,14.7,,,,,,,,
AL,1,2021,70,67.0,98.0,14.3,,,,,,,,
AL,2,2021,77,69.0,99.0,18.8,,,,,,,,
AL,3,2021,82,73.0,97.0,16.6,,,,,,,,
AL,4,2021,79,71.0,97.0,16.8,,,,,,,,
AL,5,2021,82,75.0,97.0,16.2,,,,,,,,
AL,6,2021,89,76.0,96.0,13.5,,,,,,,,
AL,7,2021,89,80.0,95.0,11.6,,,,,,,,
AL,8,2021,88,79.0,96.0,19.7,,,,,,,,
AL,9,2021,86,76.0,98.0,10.5,,,,,,,,
AL,10,2021,85,73.0,95.0,12.6,,,,,,,,
AL,11,2021,72,63.0,93.0,11.5,,,,,,,,
AL,12,2021,81,72.0,98.0,14.3,,,,,,,,
AL,1,2022,80,72.0,97.0,18.2,,,,,,,,
AL,2,2022,78,68.0,97.0,18.7,,,,,,,,
AL,3,2022,77,68.0,97.0,19.7,,,,,,,,
AL,4,2022,80,73.0,95.0,15.9,,,,,,,,
AL,5,2022,86,75.0,94.0,15.4,,,,,,,,
AL,6,2022,92,79.0,89.0,9.7,,,,,,,,
AL,7,2022,90,79.0,96.0,11.3,,,,,,,,
AL,8,2022,90s,77.0,98.0,8.1,,,,,,,,
AL,9,2022,87,76.0,96.0,14.8,,,,,,,,
AL,10,2022,79.0,76.0,98.0,14,,,,,,,,
AL,11,2022,81,70.0,96.0,14.5,,,,,,,,
AL,12,2022,9.0,9.0,99.0,18.3,,,,,,,,
AL,1,2023,75.0,71.0,99.0,17.3,,,,,,,,
AL,2,2023,80,70.0,97.0,16.6,,,,,,,,
AL,3,2023,83,72.0,90.0,19.7,,,,,,,,
AL,4,2023,81,72.0,95.0,14.8,,,,,,,,
AL,5,2023,84,73.0,93.0,10.8,,,,,,,,
AL,6,2023,89.0,79.0,92.0,12.7,,,,,,,,
AL,7,2023,89.0,80.0,93.0,8.8,,,,,,,,
AL,8,2023,93.0,80.0,94.0,10.4,,,,,,,,
AL,9,2023,87.0,76.0,92.0,10.3,,,,,,,,
AL,10,2023,80.0,70.0,95.0,15.2,,,,,,,,
AL,11,2023,70s,66.0,97.0,14.1,,,,,,,,
AL,12,2023,72.0,,,13.8,,,,,,,,
AL,1,2024,71.0,,,18.8,,,,,,,,
AL,2,2024,72.0,,,16.8,,,,,,,,
AL,3,2024,74.0,,,21.6,,,,,,,,
AR,1,2010,65,61,96,19.6,,,,,,,,
AR,2,2010,59,52,98,15.1,,,,,,,,
AR,3,2010,72,62,96,19.5,,,,,,,,
AR,4,2010,78,71,91,22,,,,,,,,
AR,5,2010,83,76,94,17.1,,,,,,,,
AR,6,2010,89,78,100,12.7,,,,,,,,
AR,7,2010,91,79,93,10.6,,,,,,,,
AR,8,2010,94,80,91,11.8,,,,,,,,
AR,9,2010,88,77,97,13.2,,,,,,,,
AR,10,2010,76,68,96,16.8,,,,,,,,
AR,11,2010,70,66,99,17.3,,,,,,,,
AR,12,2010,66,61,98,19.5,,,,,,,,
AR,1,2011,64,59,100,15.4,,,,,,,,
AR,2,2011,74,65,99,18,,,,,,,,
AR,3,2011,74,63,97,18.8,,,,,,,,
AR,4,2011,81,71,99,22.2,,,,,,,,
AR,5,2011,83,73,97,18.3,,,,,,,,
AR,6,2011,93,76,87,17.8,,,,,,,,
AR,7,2011,95,79,87,10.3,,,,,,,,
AR,8,2011,100,80,92,11.6,,,,,,,,
AR,9,2011,90,75,96,15.4,,,,,,,,
AR,10,2011,76,66,94,14.5,,,,,,,,
AR,11,2011,77,68,99,23.3,,,,,,,,
AR,12,2011,61,59,98,14.9,,,,,,,,
AR,1,2012,65,61,100,20.7,,,,,,,,
AR,2,2012,69,65,98,16.3,,,,,,,,
AR,3,2012,77,69,98,21.7,,,,,,,,
AR,4,2012,80,70,94,19.5,,,,,,,,
AR,5,2012,85,73,90,14,,,,,,,,
AR,6,2012,93,76,88,15.8,,,,,,,,
AR,7,2012,96,78,93,11.8,,,,,,,,
AR,8,2012,94,77,92,20.3,,,,,,,,
AR,9,2012,90,78,98,15.4,,,,,,,,
AR,10,2012,76,69,97,16.3,,,,,,,,
AR,11,2012,72,65,93,18.4,,,,,,,,
AR,12,2012,72,65,99,21.3,,,,,,,,
AR,1,2013,70,67,98,17.7,,,,,,,,
AR,2,2013,62,57,98,18.4,,,,,,,,
AR,3,2013,71,62,100,17.8,,,,,,,,
AR,4,2013,80,72,99,18.4,,,,,,,,
AR,5,2013,83,75,97,15.7,,,,,,,,
AR,6,2013,90,78,93,14,,,,,,,,
AR,7,2013,90,77,94,10.6,,,,,,,,
AR,8,2013,90,79,94,10.8,,,,,,,,
AR,9,2013,89,76,98,9.9,,,,,,,,
AR,10,2013,81,,,15.2,,,,,,,,
AR,11,2013,74,69,97,19.8,,,,,,,,
AR,12,2013,72,65,99,16.4,,,,,,,,
AR,1,2014,56,54,98,17.9,,,,,,,,
AR,2,2014,66,61,97,20.6,,,,,,,,
AR,3,2014,70,63,95,19.7,,,,,,,,
AR,4,2014,78,70,95,20.1,,,,,,,,
AR,5,2014,80,72,95,16.5,,,,,,,,
AR,6,2014,85,77,98,14.4,,,,,,,,
AR,7,2014,88,78,97,10.7,,,,,,,,
AR,8,2014,88,77,97,10.8,,,,,,,,
AR,9,2014,86,76,97,13.7,,,,,,,,
AR,10,2014,81,73,100,15.5,,,,,,,,
AR,11,2014,70,63,99,19.1,,,,,,,,
AR,12,2014,66,63,100,14.4,,,,,,,,
AR,1,2015,61,53,99,15.8,,,,,,,,
AR,2,2015,60,,,18.2,,,,,,,,
AR,3,2015,73,65,100,17,,,,,,,,
AR,4,2015,77,69,97,16.7,,,,,,,,
AR,5,2015,80,73,93,18.5,,,,,,,,
AR,6,2015,88,78,94,14.8,,,,,,,,
AR,7,2015,91,79,95,12.2,,,,,,,,
AR,8,2015,92,79,92,10.9,,,,,,,,
AR,9,2015,87,76,91,11.2,,,,,,,,
AR,10,2015,81,69,99,16.1,,,,,,,,
AR,11,2015,72,68,98,17.5,,,,,,,,
AR,12,2015,73,70,97,19.4,,,,,,,,
AR,1,2016,69,60,97,16.9,,,,,,,,
AR,2,2016,69,62,96,19.5,,,,,,,,
AR,3,2016,75,67,97,21,,,,,,,,
AR,4,2016,77,70,98,18.1,,,,,,,,
AR,5,2016,82,76,95,14,,,,,,,,
AR,6,2016,89,79,96,13.7,,,,,,,,
AR,7,2016,94,80,97,15.5,,,,,,,,
AR,8,2016,91,80,99,11.8,,,,,,,,
AR,9,2016,87,78,94,10.7,,,,,,,,
AR,10,2016,81,73,98,18.4,,,,,,,,
AR,11,2016,76,69,99,17.8,,,,,,,,
AR,12,2016,74,68,100,19.6,,,,,,,,
AR,1,2017,72,66,100,18.6,,,,,,,,
AR,2,2017,73,67,100,16.7,,,,,,,,
AR,3,2017,76,66,98,22.2,,,,,,,,
AR,4,2017,79,72,99,19.3,,,,,,,,
AR,5,2017,84,78,97,17.2,,,,,,,,
AR,6,2017,84,77,97,13.1,,,,,,,,
AR,7,2017,89,79,96,10.7,,,,,,,,
AR,8,2017,87,79,98,14.2,,,,,,,,
AR,9,2017,86,76,91,11.6,,,,,,,,
AR,10,2017,81,74,98,15.9,,,,,,,,
AR,11,2017,78,72,100,20.6,,,,,,,,
AR,12,2017,67,66,100,16.4,,,,,,,,
AR,1,2018,65,62,100,18.9,,,,,,,,
AR,2,2018,74,67,100,20.3,,,,,,,,
AR,3,2018,74,68,100,17.7,,,,,,,,
AR,4,2018,72,67,98,20.7,,,,,,,,
AR,5,2018,85,76,97,15.1,,,,,,,,
AR,6,2018,89,79,99,13,,,,,,,,
AR,7,2018,94,80,96,10.6,,,,,,,,
AR,8,2018,88,79,97,13.9,,,,,,,,
AR,9,2018,86,77,100,11.1,,,,,,,,
AR,10,2018,82,75,100,13.2,,,,,,,,
AR,11,2018,70,66,99,18.1,,,,,,,,
AR,12,2018,66,58,100,17.3,,,,,,,,
AR,1,2019,65,60,100,17.1,,,,,,,,
AR,2,2019,73,68,100,16.7,,,,,,,,
AR,3,2019,69,64,100,20.6,,,,,,,,
AR,4,2019,78,71,100,18.3,,,,,,,,
AR,5,2019,83,75,98,14.2,,,,,,,,
AR,6,2019,87,80,96,13.2,,,,,,,,
AR,7,2019,87,79,99,15.2,,,,,,,,
AR,8,2019,90,82,98,10.2,,,,,,,,
AR,9,2019,88,78,98,13.8,,,,,,,,
AR,10,2019,85,75,100,16.4,,,,,,,,
